Siren_Siret;Campagne;Departement;Flux;Origine;Tonnage;Date_creation;Date_modification
"48345043300000";"CMD 2008";"26";"ND";"ND";"2060.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"25";"ND";"ND";"1964.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"24";"ND";"ND";"1261.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"23";"ND";"ND";"90.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"22";"ND";"ND";"2176.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"21";"ND";"ND";"2342.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"19";"ND";"ND";"258.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"18";"ND";"ND";"787.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"17";"ND";"ND";"853.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"16";"ND";"ND";"831.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"15";"ND";"ND";"378.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"14";"ND";"ND";"1711.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"13";"ND";"ND";"3201.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"12";"ND";"ND";"1976.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"11";"ND";"ND";"359.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"10";"ND";"ND";"415.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"09";"ND";"ND";"1236.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"08";"ND";"ND";"315.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"07";"ND";"ND";"1345.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"06";"ND";"ND";"6262.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"05";"ND";"ND";"500.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"04";"ND";"ND";"241.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"03";"ND";"ND";"396.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"02";"ND";"ND";"2241.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2008";"01";"ND";"ND";"419.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2006";"01";"ND";"ND";"40.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"01";"ND";"ND";"242.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"02";"ND";"ND";"1246.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"03";"ND";"ND";"258.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"04";"ND";"ND";"65.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"05";"ND";"ND";"118.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
